outreach_status,County,Organization,Type,Phone,Email,Address,Website,Who to talk to / contact,Source URL,Notes,Priority,Suggested Contact,Personalized Outreach Angle,Email Draft,Recommended Outreach Channel,Follow-up Timing,Organization Segment,Likely Animal-Welfare Pain Point,VolunteerReady Feature Fit,Best Plan / Pricing Angle,Tailored Subject Line,Tailored Email Draft,Short Phone Script,LinkedIn/DM Blurb
ready,San Joaquin,City of Stockton Animal Services / Stockton Animal Shelter,municipal shelter,(209) 937-7445; after-hours (209) 937-8377,AnimalServices@stocktonca.gov; volunteer/foster: SASVolunteers@stocktonca.gov,"1575 S. Lincoln St., Stockton, CA 95206",https://www.stocktonca.gov/services/animal_services/index.php,Volunteer staff via SASVolunteers@stocktonca.gov,https://www.stocktonca.gov/services/animal_services/index.php; https://www.stocktonca.gov/services/animal_services/volunteer.php,,High,Volunteer staff via SASVolunteers@stocktonca.gov,(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Municipal/county shelter,"High-volume volunteer, foster, rescue-partner coordination, applications buried in inboxes, shift scheduling, documentation, and background-check tracking.","Application queue, auto-scored screening, foster/rescue-team workflows, shift capacity, attendance, audit logs, and Pro background-check/export features.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",A simpler way to coordinate Stockton Animal Services's volunteers,"Hi there,

I'm Jason, founder of VolunteerReady. I built it after watching shelter staff lose hours every week to volunteer and foster coordination: applications sitting in a shared inbox, shifts run over text, sign-ins on paper.

It puts intake, scheduling, and attendance in one place, so the team at Stockton Animal Services spends less time on logistics and more with the animals.

There's a free plan (no credit card), and I'll set you up myself. I'm reaching out to a few San Joaquin County shelters right now and would value 15 minutes to hear how you currently handle volunteers and fosters.

Worth a quick call? You can grab a time here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the work you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Stockton Animal Services handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like City of Stockton Animal Services / Stockton Animal Shelter coordinate volunteers/fosters. Open to a quick 15-minute chat?"
skip_no_email,San Joaquin,San Joaquin County Animal Services / Sheriff's Office,county animal services; sheltering via Stockton Animal Shelter,(209) 953-6073; bats/service line (209) 953-6070,unknown,"County/Sheriff mailing: 7000 Michael Canlis Blvd., French Camp, CA 95231; shelter reference: Stockton Animal Shelter, 1575 S. Lincoln St., Stockton, CA",https://sjsheriff.org/animal-services,unknown,https://sjsheriff.org/animal-services; https://www.lodi.gov/237/Animal-Services-Directory,,High,"Shelter manager, volunteer coordinator, foster/rescue partner coordinator, or animal services supervisor",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Phone first; ask for volunteer/foster/rescue coordinator email,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Municipal/county shelter,"High-volume volunteer, foster, rescue-partner coordination, applications buried in inboxes, shift scheduling, documentation, and background-check tracking.","Application queue, auto-scored screening, foster/rescue-team workflows, shift capacity, attendance, audit logs, and Pro background-check/export features.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",(No public email - phone first; see Short Phone Script),"No public email address found. Use the Short Phone Script to reach the volunteer/foster coordinator, ask for a direct email, then send the matching segment template.","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how San Joaquin County Animal Services / Sheriff's Office handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like San Joaquin County Animal Services / Sheriff's Office coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,San Joaquin,Lodi Animal Services,municipal shelter,(209) 333-6741,AnimalServices@Lodi.gov; supervisor: jbender@lodi.gov,"1345 W. Kettleman Lane, Lodi, CA 95242",https://www.lodi.gov/231/Animal-Services,"Jennifer Bender, Animal Services Supervisor; Meghan Ramczyk, Animal Services Manager",https://www.lodi.gov/231/Animal-Services; https://www.lodi.gov/Directory.aspx?did=16,,High,"Jennifer Bender, Animal Services Supervisor; Meghan Ramczyk, Animal Services Manager",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Municipal/county shelter,"High-volume volunteer, foster, rescue-partner coordination, applications buried in inboxes, shift scheduling, documentation, and background-check tracking.","Application queue, auto-scored screening, foster/rescue-team workflows, shift capacity, attendance, audit logs, and Pro background-check/export features.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",A simpler way to coordinate Lodi's shelter volunteers,"Hi Jennifer,

I'm Jason, founder of VolunteerReady. I built it after watching shelter staff lose hours every week to volunteer and foster coordination: applications in a shared inbox, shifts run over text, sign-ins on paper. As the one supervising it at Lodi, I'd guess a lot of that lands on you.

VolunteerReady puts intake, scheduling, and attendance in one place, so your team spends less time on logistics and more with the animals.

There's a free plan (no credit card), and I'll set you up myself. I'm reaching out to a few San Joaquin County shelters right now and would value 15 minutes to hear how you currently handle volunteers and fosters.

Worth a quick call? Grab a time here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the work you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Lodi Animal Services handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Lodi Animal Services coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,San Joaquin,Tracy Animal Services Unit / Tracy Animal Shelter,municipal shelter,(209) 831-6364; after-hours/non-emergency (209) 831-6550,Animal.Services@CityofTracy.org; AnimalServices@TracyPD.com also shown for program correspondence,"2375 Paradise Road, Tracy, CA 95304",https://tracypd.com/bureau-of-support-services/animal-services,Animal Services Unit / Bureau of Support Services,https://tracypd.com/bureau-of-support-services/animal-services,Specific named person unknown,High,Animal Services Unit / Bureau of Support Services,(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Municipal/county shelter,"High-volume volunteer, foster, rescue-partner coordination, applications buried in inboxes, shift scheduling, documentation, and background-check tracking.","Application queue, auto-scored screening, foster/rescue-team workflows, shift capacity, attendance, audit logs, and Pro background-check/export features.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",A simpler way to coordinate Tracy Animal Services's volunteers,"Hi there,

I'm Jason, founder of VolunteerReady. I built it after watching shelter staff lose hours every week to volunteer and foster coordination: applications sitting in a shared inbox, shifts run over text, sign-ins on paper.

It puts intake, scheduling, and attendance in one place, so the team at Tracy Animal Services spends less time on logistics and more with the animals.

There's a free plan (no credit card), and I'll set you up myself. I'm reaching out to a few San Joaquin County shelters right now and would value 15 minutes to hear how you currently handle volunteers and fosters.

Worth a quick call? You can grab a time here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the work you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Tracy Animal Services handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Tracy Animal Services Unit / Tracy Animal Shelter coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,San Joaquin,Manteca Animal Services,municipal shelter,(209) 456-8270,jchanoski@manteca.gov,"115 E. Wetmore St., Manteca, CA 95337",https://www.manteca.gov/departments/police-department/animal-services-unit,unknown,https://www.adoptapet.com/shelter/269523-manteca-animal-services-manteca-california; https://www.lodi.gov/237/Animal-Services-Directory,Official city page was access-blocked; details verified via secondary sources,High,"Shelter manager, volunteer coordinator, foster/rescue partner coordinator, or animal services supervisor",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Municipal/county shelter,"High-volume volunteer, foster, rescue-partner coordination, applications buried in inboxes, shift scheduling, documentation, and background-check tracking.","Application queue, auto-scored screening, foster/rescue-team workflows, shift capacity, attendance, audit logs, and Pro background-check/export features.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",A simpler way to coordinate Manteca Animal Services's volunteers,"Hi there,

I'm Jason, founder of VolunteerReady. I built it after watching shelter staff lose hours every week to volunteer and foster coordination: applications sitting in a shared inbox, shifts run over text, sign-ins on paper.

It puts intake, scheduling, and attendance in one place, so the team at Manteca Animal Services spends less time on logistics and more with the animals.

There's a free plan (no credit card), and I'll set you up myself. I'm reaching out to a few San Joaquin County shelters right now and would value 15 minutes to hear how you currently handle volunteers and fosters.

Worth a quick call? You can grab a time here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the work you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Manteca Animal Services handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Manteca Animal Services coordinate volunteers/fosters. Open to a quick 15-minute chat?"
skip_no_email,San Joaquin,Lathrop Animal Center / Lathrop Animal Services,municipal shelter,(209) 647-6480 animal center; (209) 647-6400 community resource officers/non-emergency dispatch,unknown,"City footer/mailing: 390 Towne Centre Dr., Lathrop, CA 95330; Adopt-a-Pet lists 940 River Islands Pkwy., Lathrop, CA 95330",https://www.ci.lathrop.ca.us/animal-services,unknown,https://www.ci.lathrop.ca.us/animal-services; https://www.adoptapet.com/shelter/74688-lathrop-animal-services-lathrop-california,Official animal-center address not clearly listed,High,"Shelter manager, volunteer coordinator, foster/rescue partner coordinator, or animal services supervisor",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Phone first; ask for volunteer/foster/rescue coordinator email,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Municipal/county shelter,"High-volume volunteer, foster, rescue-partner coordination, applications buried in inboxes, shift scheduling, documentation, and background-check tracking.","Application queue, auto-scored screening, foster/rescue-team workflows, shift capacity, attendance, audit logs, and Pro background-check/export features.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",(No public email - phone first; see Short Phone Script),"No public email address found. Use the Short Phone Script to reach the volunteer/foster coordinator, ask for a direct email, then send the matching segment template.","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Lathrop Animal Center / Lathrop Animal Services handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Lathrop Animal Center / Lathrop Animal Services coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,San Joaquin,Ripon Animal Services / Ripon Animal Shelter,municipal shelter,Police/assistance: (209) 599-2102; Adopt-a-Pet shelter listing: (209) 599-3146,gbatty@cityofripon.org; Adopt-a-Pet lists pdshelterstaff@cityofripon.org,"Official contact/mailing: 259 N. Wilma Ave., Ripon, CA 95366; Adopt-a-Pet shelter address: 444 Doak Blvd., Ripon, CA 95366",https://cityofripon.org/225/Animal-Services,"Gabrielle 'Gabby' Batty, Community Service Officer; Adopt-a-Pet lists Bethany Shimmel as contact",https://cityofripon.org/225/Animal-Services; https://www.adoptapet.com/shelter/93252-ripon-animal-service-ripon-california,,High,"Gabrielle 'Gabby' Batty, Community Service Officer; Adopt-a-Pet lists Bethany Shimmel as contact",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Municipal/county shelter,"High-volume volunteer, foster, rescue-partner coordination, applications buried in inboxes, shift scheduling, documentation, and background-check tracking.","Application queue, auto-scored screening, foster/rescue-team workflows, shift capacity, attendance, audit logs, and Pro background-check/export features.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",A simpler way to coordinate Ripon Animal Services's volunteers,"Hi there,

I'm Jason, founder of VolunteerReady. I built it after watching shelter staff lose hours every week to volunteer and foster coordination: applications sitting in a shared inbox, shifts run over text, sign-ins on paper.

It puts intake, scheduling, and attendance in one place, so the team at Ripon Animal Services spends less time on logistics and more with the animals.

There's a free plan (no credit card), and I'll set you up myself. I'm reaching out to a few San Joaquin County shelters right now and would value 15 minutes to hear how you currently handle volunteers and fosters.

Worth a quick call? You can grab a time here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the work you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Ripon Animal Services handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Ripon Animal Services / Ripon Animal Shelter coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,San Joaquin,Escalon Animal Shelter / Animal Control,municipal shelter,Shelter: (209) 838-9908; Animal Control Officer: (209) 691-7304,cpascale@cityofescalon.org,"25100 E. River Rd., Escalon, CA 95320",https://www.cityofescalon.org/government/departments/development_services/community_programs2/animal_control,Animal Control Officer,https://www.cityofescalon.org/government/departments/development_services/community_programs2/animal_control,Name not stated on page,High,Animal Control Officer,(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Municipal/county shelter,"High-volume volunteer, foster, rescue-partner coordination, applications buried in inboxes, shift scheduling, documentation, and background-check tracking.","Application queue, auto-scored screening, foster/rescue-team workflows, shift capacity, attendance, audit logs, and Pro background-check/export features.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",A simpler way to coordinate the Escalon shelter's volunteers,"Hi there,

I'm Jason, founder of VolunteerReady. I built it after watching shelter staff lose hours every week to volunteer and foster coordination: applications sitting in a shared inbox, shifts run over text, sign-ins on paper.

It puts intake, scheduling, and attendance in one place, so the team at the Escalon shelter spends less time on logistics and more with the animals.

There's a free plan (no credit card), and I'll set you up myself. I'm reaching out to a few San Joaquin County shelters right now and would value 15 minutes to hear how you currently handle volunteers and fosters.

Worth a quick call? You can grab a time here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the work you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how the Escalon shelter handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Escalon Animal Shelter / Animal Control coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,San Joaquin,Pets & Pals Animal Shelter,nonprofit shelter/rescue,(209) 982-5073,info@petsnpals.org; davidm@petsnpals.org; susanm@petsnpals.org,"12488 S. Harlan Road, Lathrop, CA 95330",https://petsnpals.org,"David, Executive Director; Renae, Adoption Coordinator; Susan, President",https://petsnpals.org/contact/; https://petsnpals.org/our-amazing-team/,,High,"David, Executive Director; Renae, Adoption Coordinator; Susan, President",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Nonprofit shelter / humane society,"Volunteer intake, adoption-event staffing, foster coordination, training/credential tracking, and funder/board-ready reports.","Volunteer applications, custom screening questions, adoption-event shifts, attendance, training credentials, and grant-ready reporting.","Lead with Free plan/no credit card; position Starter/Pro only if they need more than 3 opportunities, matching, background checks, or exports.",Volunteer intake at Pets & Pals without the spreadsheets,"Hi David,

I'm Jason, founder of VolunteerReady. I built it for small nonprofit shelters that run on volunteers and fosters but lose half the week to coordinating them.

It handles applications, shift sign-ups, and attendance in one place, so Pets & Pals can move someone from ""interested"" to ""scheduled"" without the email tag.

Free to start, no credit card, and I'll set your team up myself. I'm reaching out to a few San Joaquin County shelters this month and would love 15 minutes to hear how you run volunteers and adoption events today.

Open to a quick call? My calendar's here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for everything you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Pets & Pals Animal Shelter handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Pets & Pals Animal Shelter coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,San Joaquin,Delta Humane Society & SPCA of San Joaquin County,nonprofit shelter/rescue,(209) 466-0339,info@dhsspca.org; Shelter@dhsspca.org,"4590 CA-99, Stockton, CA 95215",https://www.dhsspca.org,General shelter contact,https://www.dhsspca.org/; https://www.dhsspca.org/contact-us,Named contact unknown,High,General shelter contact,(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Nonprofit shelter / humane society,"Volunteer intake, adoption-event staffing, foster coordination, training/credential tracking, and funder/board-ready reports.","Volunteer applications, custom screening questions, adoption-event shifts, attendance, training credentials, and grant-ready reporting.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",Volunteer intake at Delta Humane Society without the spreadsheets,"Hi there,

I'm Jason, founder of VolunteerReady. I built it for small nonprofit teams that run on volunteers and fosters but lose half the week to coordinating them.

It handles applications, shift sign-ups, and attendance in one place, so Delta Humane Society can move someone from ""interested"" to ""scheduled"" without the back-and-forth.

The plan is free to start, no credit card, and I'll set you up personally. I'm reaching out to a few San Joaquin County groups this month and would love 15 minutes to learn how you run volunteers and adoption events today.

Open to a quick call? Here's my calendar: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for everything you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Delta Humane Society handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Delta Humane Society & SPCA of San Joaquin County coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,San Joaquin,Animal Friends Connection Humane Society,nonprofit rescue/shelter,(209) 365-0535,unknown; contact form on website,"933 S. Cherokee Lane, Lodi, CA 95240",https://animalfriendsconnect.org,General contact; foster/rescue and volunteer forms available,https://animalfriendsconnect.org/contact/; https://animalfriendsconnect.org/foster-and-rescue/,,High,General contact; foster/rescue and volunteer forms available,(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Website contact form first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Nonprofit shelter / humane society,"Volunteer intake, adoption-event staffing, foster coordination, training/credential tracking, and funder/board-ready reports.","Volunteer applications, custom screening questions, adoption-event shifts, attendance, training credentials, and grant-ready reporting.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",(No public email - phone first; see Short Phone Script),"No public email address found. Use the Short Phone Script to reach the volunteer/foster coordinator, ask for a direct email, then send the matching segment template.","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Animal Friends Connection Humane Society handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Animal Friends Connection Humane Society coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,San Joaquin,Second Chance Kitty,"nonprofit cat rescue, foster-based",unknown,2chancekittys@gmail.com; website contact form,"Lodi, CA 95240; no street address public",https://secondchancekitty.org,General contact form,https://secondchancekitty.org/contact-us/; https://www.adoptapet.com/shelter/93559-second-chance-kitty-lodi-california,Named contact unknown,Medium,General contact form,(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Website contact form first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Cat rescue / foster network,"Foster applications, adoption-event volunteers, transport/TNR helpers, onboarding status, and keeping a distributed volunteer base organized.","Foster/volunteer intake forms, TNR/adoption-event shifts, portable credentials for trained volunteers, and centralized follow-up.","Lead with Free plan/no credit card; position Starter/Pro only if they need more than 3 opportunities, matching, background checks, or exports.",Keeping fosters and TNR volunteers organized,"Hi there,

I'm Jason, founder of VolunteerReady. Cat rescues tend to have the trickiest coordination problem: lots of fosters and TNR volunteers spread out, and no single place to see who's covering what.

VolunteerReady puts foster and volunteer intake, sign-ups for clinics and adoption events, and follow-up in one place, so Second Chance Kitty isn't tracking it all by text and memory.

Free to start, no credit card, and I'll set your team up myself. I'm connecting with a few San Joaquin County rescues this month. Could I get 15 minutes to hear how you run things?

Grab a time here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the work,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Second Chance Kitty handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Second Chance Kitty coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,San Joaquin,East of Eden Rescue / East of Eden Canine Rescue,nonprofit companion animal rescue,(209) 815-5186,eoerescue@yahoo.com,"Tracy, CA 95376; mailing address also listed as P.O. Box 236, Pleasanton, CA 94566",https://www.eastofedenrescue.org,Volunteer-run; no paid staff,https://www.adoptapet.com/shelter/70564-east-of-eden-canine-rescue-tracy-california; https://cnsdrive.com/eastofedenrescue/,Official site partially access-blocked; verified via secondary/mirrored sources,High,Volunteer-run; no paid staff,(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Dog rescue / foster network,"Foster screening, handler/transport volunteers, event staffing, background-check readiness, and tracking who is cleared for sensitive roles.","Foster and handler screening, role-specific credentials, adoption-event shifts, and background-check readiness for higher-risk roles.","Lead with Free plan/no credit card; position Starter/Pro only if they need more than 3 opportunities, matching, background checks, or exports.","A simpler setup for fosters, transport, and events","Hi there,

I'm Jason, founder of VolunteerReady. Foster-based dog rescues live and die by coordination: who's fostering, who can transport, who's covering the next adoption event.

VolunteerReady keeps volunteer and foster intake, scheduling, and attendance in one place, so East of Eden can fill those slots without chasing people down.

It's free to start, no credit card, and I'll get you set up personally. Could I grab 15 minutes to learn how you coordinate fosters and events today?

Here's my calendar: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for what you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how East of Eden handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like East of Eden Rescue / East of Eden Canine Rescue coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,San Joaquin,Harvest Home Animal Sanctuary,nonprofit animal sanctuary/rescue,unknown,info@harvesthomesanctuary.org,"P.O. Box 998, French Camp, CA 95231",https://harvesthomesanctuary.org,General contact,https://harvesthomesanctuary.org/contact-us/,,Medium,General contact,(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Animal sanctuary,"Recurring chore shifts, volunteer reliability, training requirements, attendance history, and impact reporting for supporters.","Recurring shift scheduling, attendance tracking, onboarding/training credentials, and simple proof of volunteer hours.","Lead with Free plan/no credit card; position Starter/Pro only if they need more than 3 opportunities, matching, background checks, or exports.",Coordinating sanctuary shifts in one place,"Hi there,

I'm Jason, founder of VolunteerReady. Sanctuaries have a different rhythm than shelters: the same animals every day, which means regular volunteer shifts for feeding, cleaning, and care that someone has to keep staffed.

VolunteerReady lets volunteers see open shifts and sign up themselves, and shows you attendance at a glance, so Harvest Home isn't rebuilding the schedule every week.

Free to start, no credit card, and I'll set your team up myself. Could I get 15 minutes to hear how you handle your volunteer rotation now?

My calendar's here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the care you give,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Harvest Home handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Harvest Home Animal Sanctuary coordinate volunteers/fosters. Open to a quick 15-minute chat?"
